City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Rain,Snow,Date
361,Tromso,69.65,18.96,19.4,79,40,5.82,NO,scattered clouds,0.0,0.0,2019-11-11 00:19:38
362,Karratha,-20.74,116.85,80.87,53,0,9.57,AU,clear sky,0.0,0.0,2019-11-11 00:20:19
363,Mokrous,51.24,47.51,34.61,91,19,7.38,RU,few clouds,0.0,0.0,2019-11-11 00:22:20
364,Don Sak,9.32,99.69,80.6,74,40,2.24,TH,scattered clouds,0.0,0.0,2019-11-11 00:22:21
365,Salinas,36.67,-121.66,75.0,72,1,12.75,US,clear sky,0.0,0.0,2019-11-11 00:19:11
366,Constantine,36.36,6.61,42.8,87,90,9.17,DZ,overcast clouds,0.0,0.0,2019-11-11 00:22:21
367,Launceston,-41.43,147.14,59.0,62,75,20.8,AU,broken clouds,0.0,0.0,2019-11-11 00:22:21
368,Dezhou,37.45,116.31,49.53,38,0,3.96,CN,clear sky,0.0,0.0,2019-11-11 00:22:21
369,Nome,30.04,-94.42,66.99,77,1,3.36,US,clear sky,0.0,0.0,2019-11-11 00:20:41
370,Sanpaul,46.45,24.35,50.0,87,92,3.8,RO,light intensity shower rain,0.0,0.0,2019-11-11 00:22:21
371,Kidal,18.44,1.41,75.7,14,87,10.16,ML,overcast clouds,0.0,0.0,2019-11-11 00:21:02
372,Honiara,-9.43,159.96,86.0,70,75,8.05,SB,broken clouds,0.0,0.0,2019-11-11 00:22:22
373,Sierra Vista,31.55,-110.3,75.0,49,75,6.93,US,broken clouds,0.0,0.0,2019-11-11 00:22:22
374,Kulhudhuffushi,6.62,73.07,81.55,69,0,5.19,MV,clear sky,0.0,0.0,2019-11-11 00:20:32
375,Clyde River,70.47,-68.59,12.2,92,100,29.97,CA,snow,0.0,0.0,2019-11-11 00:20:15
376,Port-Cartier,50.03,-66.88,35.01,87,90,17.22,CA,overcast clouds,0.0,0.0,2019-11-11 00:20:45
377,Taoudenni,22.68,-3.98,64.65,24,0,5.95,ML,clear sky,0.0,0.0,2019-11-11 00:22:22
378,Inuvik,68.36,-133.71,8.6,55,5,2.93,CA,clear sky,0.0,0.0,2019-11-11 00:20:25
379,Cap Malheureux,-19.98,57.61,71.01,94,40,5.82,MU,scattered clouds,0.0,0.0,2019-11-11 00:22:23
380,Mehamn,71.03,27.85,23.31,81,61,13.13,NO,broken clouds,0.0,0.0,2019-11-11 00:20:26
381,Luganville,-15.51,167.18,82.4,69,75,5.82,VU,broken clouds,0.0,0.0,2019-11-11 00:22:23
382,Salem,44.94,-123.03,55.0,87,90,8.05,US,mist,0.0,0.0,2019-11-11 00:22:23
383,Nichinan,31.65,131.31,66.2,68,20,14.99,JP,few clouds,0.0,0.0,2019-11-11 00:22:23
384,Pochutla,15.74,-96.47,86.0,74,40,8.32,MX,scattered clouds,0.0,0.0,2019-11-11 00:22:24
385,La Libertad,-16.38,-71.56,59.0,58,75,3.36,PE,broken clouds,0.0,0.0,2019-11-11 00:22:24
386,Kangaatsiaq,68.31,-53.46,40.17,55,100,25.77,GL,overcast clouds,0.0,0.0,2019-11-11 00:22:24
387,Roald,62.58,6.12,26.6,79,0,6.93,NO,clear sky,0.0,0.0,2019-11-11 00:19:57
388,Tokmak,47.26,35.7,48.25,88,0,10.94,UA,clear sky,0.0,0.0,2019-11-11 00:22:24
389,Avarua,-21.21,-159.78,75.2,78,0,9.17,CK,light rain,0.0,0.0,2019-11-11 00:19:48
390,Roma,41.89,12.48,57.2,81,75,9.17,IT,light rain,0.0,0.0,2019-11-11 00:15:00
391,Eyrarbakki,63.86,-21.15,42.8,70,90,28.86,IS,overcast clouds,0.0,0.0,2019-11-11 00:22:25
392,Polson,47.69,-114.16,27.0,49,20,20.8,US,few clouds,0.0,0.0,2019-11-11 00:22:25
393,Chifeng,42.27,118.96,35.76,53,0,7.9,CN,clear sky,0.0,0.0,2019-11-11 00:18:03
394,Ambon,47.55,-2.56,46.0,93,98,2.24,FR,overcast clouds,0.0,0.0,2019-11-11 00:22:25
395,Osorno,-40.57,-73.14,60.8,63,91,6.69,CL,overcast clouds,0.0,0.0,2019-11-11 00:22:26
396,Sungairaya,0.7,108.9,81.34,80,38,2.57,ID,scattered clouds,0.0,0.0,2019-11-11 00:22:26
397,Houston,29.76,-95.37,69.01,64,1,8.25,US,clear sky,0.0,0.0,2019-11-11 00:21:22
398,Ongole,15.51,80.05,73.63,85,44,4.72,IN,scattered clouds,0.0,0.0,2019-11-11 00:22:26
399,Makakilo City,21.35,-158.09,87.8,65,75,9.17,US,broken clouds,0.0,0.0,2019-11-11 00:15:44
400,Sulya,12.56,75.39,69.31,94,92,3.42,IN,overcast clouds,0.0,0.0,2019-11-11 00:22:26
401,Nouakchott,18.08,-15.98,73.4,56,100,10.29,MR,overcast clouds,0.0,0.0,2019-11-11 00:22:26
402,Fonte Boa,-2.51,-66.09,76.15,94,99,1.77,BR,light rain,1.44,0.0,2019-11-11 00:22:27
403,Lavrentiya,65.58,-170.99,34.63,89,100,12.64,RU,light rain,0.25,0.0,2019-11-11 00:20:01
404,Fomboni,-12.28,43.74,80.11,83,96,11.05,KM,overcast clouds,0.0,0.0,2019-11-11 00:22:27
405,Bandarbeyla,9.49,50.81,79.47,70,34,12.84,SO,light rain,0.25,0.0,2019-11-11 00:20:11
406,Lata,30.78,78.62,25.3,20,100,2.93,IN,overcast clouds,0.0,0.0,2019-11-11 00:19:40
407,Seremban,2.72,101.93,79.0,88,20,2.24,MY,thunderstorm,0.0,0.0,2019-11-11 00:22:27
408,Tanout,14.97,8.88,82.54,14,100,6.38,NE,overcast clouds,0.0,0.0,2019-11-11 00:22:28
409,Kansk,56.21,95.71,5.85,81,62,8.7,RU,broken clouds,0.0,0.0,2019-11-11 00:22:28
410,Porto Novo,-23.68,-45.44,71.6,88,40,5.82,BR,scattered clouds,0.0,0.0,2019-11-11 00:20:05
411,Rocha,-34.48,-54.34,53.82,95,0,6.78,UY,clear sky,0.0,0.0,2019-11-11 00:20:27
412,Kamenka,48.03,28.7,55.99,87,55,3.0,MD,broken clouds,0.0,0.0,2019-11-11 00:22:28
413,Tupik,54.43,119.94,7.66,91,100,4.29,RU,overcast clouds,0.0,0.0,2019-11-11 00:22:28
414,Otradnoye,59.77,30.8,44.6,87,75,4.47,RU,broken clouds,0.0,0.0,2019-11-11 00:22:28
415,Kieta,-6.22,155.63,83.57,67,86,6.33,PG,overcast clouds,0.0,0.0,2019-11-11 00:22:28
416,Komsomolets,52.77,41.29,38.32,94,84,8.34,RU,broken clouds,0.0,0.0,2019-11-11 00:22:29
417,Tutoia,-2.76,-42.27,74.26,90,65,4.88,BR,broken clouds,0.0,0.0,2019-11-11 00:19:53
418,Ban Dung,17.7,103.25,64.4,82,100,4.23,TH,overcast clouds,0.0,0.0,2019-11-11 00:22:29
419,Pandharpur,17.68,75.33,70.93,77,0,4.18,IN,clear sky,0.0,0.0,2019-11-11 00:22:29
420,Bereda,43.27,-7.54,51.01,93,90,8.05,ES,overcast clouds,0.0,0.0,2019-11-11 00:22:29
421,Itacoatiara,-3.14,-58.44,76.59,84,94,1.63,BR,light rain,1.25,0.0,2019-11-11 00:22:29
422,Wembley,55.15,-119.14,-2.21,84,20,2.24,CA,few clouds,0.0,0.0,2019-11-11 00:17:35
423,Am Timan,11.04,20.28,74.32,32,84,3.06,TD,broken clouds,0.0,0.0,2019-11-11 00:22:30
424,Dongying,37.43,118.67,50.52,44,0,3.2,CN,clear sky,0.0,0.0,2019-11-11 00:22:06
425,Dudinka,69.41,86.18,-11.21,83,75,8.95,RU,light shower snow,0.0,0.0,2019-11-11 00:19:39
426,Hobyo,5.35,48.53,76.96,82,15,10.45,SO,few clouds,0.0,0.0,2019-11-11 00:20:29
427,Emirdag,39.02,31.15,48.0,42,29,2.93,TR,scattered clouds,0.0,0.0,2019-11-11 00:22:30
428,Santa Isabel Do Rio Negro,-0.41,-65.02,77.14,89,100,2.21,BR,overcast clouds,0.0,0.0,2019-11-11 00:22:31
429,Adrar,27.87,-0.29,57.2,26,0,4.7,DZ,clear sky,0.0,0.0,2019-11-11 00:19:46
